Model,PR-AUC,ROC-AUC,Precision@0.5,Recall@0.5,F1@0.5,train_time_s
XGBoost,0.8759962787477743,0.9775463188933423,0.8723404255319149,0.8367346938775511,0.8541666666666666,7.4
Random Forest,0.8135642359452131,0.9780144964569959,0.7920792079207921,0.8163265306122449,0.8040201005025126,197.0
Logistic Regression,0.7189463752156903,0.9721669425367221,0.060851926977687626,0.9183673469387755,0.11414077362079898,1.2
